acceptingOrders,acceptingOrdersTimestamp,active,approved,archived,automaticallyActive,automaticallyResolved,bestAsk,bestBid,category,categoryMailchimpTag,clearBookOnStart,clobRewards,clobTokenIds,closed,closedTime,commentsEnabled,competitive,conditionId,createdAt,createdBy,creator,customLiveness,cyom,denominationToken,deploying,deployingTimestamp,description,disqusThread,enableOrderBook,endDate,endDateIso,eventStartTime,event_id,event_slug,event_title,featured,fee,feesEnabled,formatType,fpmmLive,funded,gameId,gameStartTime,groupItemRange,groupItemThreshold,groupItemTitle,hasReviewedDates,holdingRewardsEnabled,icon,id,image,lastTradePrice,line,liquidity,liquidityAmm,liquidityClob,liquidityNum,lowerBound,mailchimpTag,makerBaseFee,manualActivation,marketGroup,marketMakerAddress,marketType,negRisk,negRiskMarketID,negRiskOther,negRiskRequestID,new,notificationsEnabled,oneDayPriceChange,oneHourPriceChange,oneMonthPriceChange,oneWeekPriceChange,oneYearPriceChange,orderMinSize,orderPriceMinTickSize,outcomePrices,outcomes,pagerDutyNotificationEnabled,pendingDeployment,question,questionID,ready,readyForCron,resolutionSource,resolvedBy,restricted,rewardsMaxSpread,rewardsMinSize,rfqEnabled,secondsDelay,sentDiscord,seriesColor,showGmpOutcome,showGmpSeries,slug,sponsorImage,sportsMarketType,spread,startDate,startDateIso,subcategory,submitted_by,takerBaseFee,teamAID,teamBID,twitterCardImage,twitterCardLastRefreshed,twitterCardLastValidated,twitterCardLocation,umaBond,umaEndDate,umaEndDateIso,umaResolutionStatus,umaResolutionStatuses,umaReward,updatedAt,updatedBy,upperBound,volume,volume1mo,volume1moAmm,volume1moClob,volume1wk,volume1wkAmm,volume1wkClob,volume1yr,volume1yrAmm,volume1yrClob,volume24hr,volume24hrAmm,volume24hrClob,volumeAmm,volumeClob,volumeNum,wideFormat,topic,p_yes,p_no,resolved_label
False,2025-10-22T19:05:56Z,True,True,False,True,True,1.0,0.999,,,True,,"[""109769955369269899598226711611353923080965376666163564813556882810277071579289"", ""14712419982921450754138221742645584419818246493931284214110433183896439523091""]",True,2025-11-01 09:07:48+00,,,0xf17979ef7ccb08241b4e145b06db3f6318aa6596a9ea5c59bd0be8281265f8c5,2025-10-22T18:53:35.039801Z,,,0.0,False,,False,2025-10-22T18:54:17.603674Z,"In the upcoming game, scheduled for November 1, 2025
If Auckland FC wins, this market will resolve to ""Yes"".
Otherwise, this market will resolve to ""No"".
If the game is postponed, this market will remain open until the game has been completed.
If the game is canceled entirely, with no make-up game, this market will resolve ""No"".
This market refers only to the outcome within the first 90 minutes of regular play plus stoppage time.",,True,2025-11-01T04:00:00Z,2025-11-01,,63581,aus-auc-ade-2025-11-01,Auckland FC vs. Adelaide United FC,False,,False,,,False,,2025-11-01 04:00:00+00,,0.0,Auckland FC,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/a-league-6595bd3047.jpg,644848,https://polymarket-upload.s3.us-east-2.amazonaws.com/a-league-6595bd3047.jpg,1.0,,,,,,,,,False,,,,True,0x2ddfe71ac2cd85637a916bbf8781e0e224844dcb04ce058d627934570674b400,False,0x04d9fb354d7cc18826d4fca84a17b87db268d27f21602521c224fc6d3f67f371,False,,0.4595,,,0.4995,,5.0,0.001,"[""1"", ""0""]","[""Yes"", ""No""]",False,False,Will Auckland FC win on 2025-11-01?,0x2ddfe71ac2cd85637a916bbf8781e0e224844dcb04ce058d627934570674b400,False,,https://www.a-league.com.au/,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,0.0,0,False,3.0,,,,,aus-auc-ade-2025-11-01-auc,,,0.001,2025-10-22T19:06:18.417426Z,2025-10-22,,0x91430CaD2d3975766499717fA0D66A78D814E5c5,,,,,,,,500.0,2025-11-01T09:07:48Z,,resolved,"[""proposed"", ""resolved""]",2.0,2025-11-02T16:33:25.582127Z,,,7975.459523,7975.459522999998,,7975.459522999998,7975.459522999998,,7975.459522999998,7975.459522999998,,7975.459522999998,,,,,7975.459523,7975.459523,,Sports,1.000000,0.000000,YES
False,2025-11-24T13:32:51Z,True,True,False,True,True,0.001,,,,True,,"[""41345119530331844273217645351918403112483827865610203293511045508826050158744"", ""36138300739721499153586409840780391036659269957170672596591917562073155882177""]",True,2025-11-30 23:26:28+00,,,0x24396a115074eb6d3aed1166fa3791206f72b8370de54204243245912e4994ac,2025-11-24T13:00:21.928708Z,,,0.0,False,,False,2025-11-24T13:00:46.168173Z,"This market will resolve to “Yes” if the listed driver finishes within the top three positions in the official ""Final Classification"" for the F1 Qatar Grand Prix, scheduled for Nov 30, 2025. Otherwise, this market will resolve to “No.”

The ""Final Classification"" is published by the FIA following the conclusion of the race and includes any applied time penalties and official adjustments. It is typically released 30-60 minutes after the race ends.

Disqualifications or changes made after the publication of the ""Final Classification"" will not affect market resolution. The timing of the podium ceremony does not determine the result for this market — only the FIA's published classification will be used to resolve this market.

If the Qatar Grand Prix is postponed, this market will remain open until the event has been completed. If the Qatar Grand Prix is permanently canceled, this market will resolve 50-50.",,True,2025-12-07T16:00:00Z,2025-12-07,,89159,f1-qatar-grand-prix-driver-podium-2025-11-30,Qatar Grand Prix: Driver Podium Finish,False,,False,,,False,,2025-11-30 16:00:00+00,,0.0,Alexander Albon,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/f1-constructors-champion-2025-PULWDiyoGXZ7.png,700374,https://polymarket-upload.s3.us-east-2.amazonaws.com/f1-constructors-champion-2025-PULWDiyoGXZ7.png,1.0,,,,,,,,,False,,,,False,,False,,False,,-0.068,,,,,5.0,0.001,"[""0"", ""1""]","[""Yes"", ""No""]",False,False,Will Alexander Albon finish on the podium at the 2025 F1 Qatar Grand Prix?,0x27a3b79a5a577637eaef3eb70c19fcde971c4e1ae4c40687eeda3cb1c8ac5689,False,,https://www.formula1.com/en/results/2025/races,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,True,0.0,0,False,3.0,,,,,f1-qatar-grand-prix-driver-podium-albon-2025-11-30,,,0.001,2025-11-24T13:33:12.75073Z,2025-11-24,,0x91430CaD2d3975766499717fA0D66A78D814E5c5,,,,,,,,500.0,2025-11-30T23:26:28Z,,resolved,"[""proposed""]",5.0,2025-12-02T00:36:06.671994Z,,,290.183666,290.183666,,290.183666,290.183666,,290.183666,290.183666,,290.183666,,,,,290.183666,290.183666,,Sports,0.000000,1.000000,NO
False,2025-10-17T17:39:14Z,True,True,False,True,True,0.001,,,,True,"[{""id"": ""38854"", ""conditionId"": ""0xb722ba1a34f3fc0d94cc3a2ce3a6cf5d93f2eec93e71d5f5449fdf7c2bde65b9"", ""assetAddress"": ""0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174"", ""rewardsAmount"": 0, ""rewardsDailyRate"": 5, ""startDate"": ""2025-10-20"", ""endDate"": ""2500-12-31""}]","[""25887246250759695839345985379897695535554348331731258485969716019330772013803"", ""45589632259128641143932884635868184276621547431150715103249163355831593457915""]",True,2025-12-01 07:11:40+00,,,0xb722ba1a34f3fc0d94cc3a2ce3a6cf5d93f2eec93e71d5f5449fdf7c2bde65b9,2025-10-17T17:34:18.659992Z,,,0.0,False,,False,2025-10-17T17:38:43.395312Z,"On August 15, 2025, U.S. President Donald Trump and Russian President Vladimir Putin met in person at Joint Base Elmendorf-Richardson near Anchorage, Alaska, for a summit focused on potential peace terms in Ukraine. 

This market will resolve to ""Yes"" if Vladimir Putin meets with Donald Trump on a separate occasion from the August 15, 2025 meeting by by the listed date (ET).  Otherwise, this market will resolve to ""No"".

Encounters that are part of, or a continuation of, the August 15 meeting will not qualify, even if they occur on a different day (e.g. August 16).

A meeting is defined as any encounter where both Putin and Trump are present and interact with each other in person.

The resolution source will be a consensus of credible reporting.",,True,2025-11-30T00:00:00Z,2025-11-30,,38010,will-trump-meet-with-putin-again-by,Will Trump meet with Putin again by...?,False,,False,,,False,,,,3.0,November 30,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-trump-meet-with-putin-by-august-15-Th_KuMTET47f.jpg,638519,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-trump-meet-with-putin-by-august-15-Th_KuMTET47f.jpg,1.0,,,,,,,,,False,,,,False,,False,,False,,-0.0005,,-0.0745,-0.009,,5.0,0.001,"[""0"", ""1""]","[""Yes"", ""No""]",False,False,Will Trump meet with Putin by November 30?,0xf042758fa135e4a7c98b81cc5c6e5cb395f63e8001378dd23a8fb5ac31fa472e,False,,,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,True,3.5,200,False,,,,False,False,will-trump-meet-with-putin-by-november-30,,,0.001,2025-10-17T17:39:35.389797Z,2025-10-17,,0x91430CaD2d3975766499717fA0D66A78D814E5c5,,,,,,,,500.0,2025-12-01T07:11:40Z,,resolved,"[""proposed""]",5.0,2025-12-02T08:34:10.943528Z,,,940360.331111,459926.6532479994,,459926.6532479994,131387.09292500003,,131387.09292500003,940360.3311110004,,940360.3311110004,,,,,940360.331111,940360.331111,,Geopolitics,0.000000,1.000000,NO
False,2025-10-16T22:06:11Z,True,True,False,True,True,0.001,,,,True,,"[""16564274950162618707766730096256213289963520424534058535432578929049331479217"", ""28048054502831164310903780629338906046842913549606238975170065419569140860458""]",True,2025-11-07 18:42:15+00,,,0x3a29666a411808fc5e662b6c2167262cf9c3571a08f51f6182a5c45172be5540,2025-10-16T15:31:52.146832Z,,,0.0,False,,False,2025-10-16T22:01:42.996682Z,"This market will resolve according to the number of views the next YouTube video posted by Stokes Twins gets in the first 7 days after being posted.

If Stokes Twins does not post a YouTube video by December 31, 2025, 11:59 PM ET, this market will resolve to the lowest range bracket.

If the reported value falls exactly between two brackets, this market will resolve to the higher range bracket.

The resolution source for this is Stokes Twins' YouTube channel (https://www.youtube.com/@StokesTwins), specifically the 'views' counter for the described video.

Note: This market refers to Stokes Twins' next video posted. Shorts, previews, or other videos released other than the referenced video will not be considered.",,True,2025-12-31T00:00:00Z,2025-12-31,,60501,of-views-of-next-stokes-twins-video-on-week-1-971,# of views of next Stokes Twins video on week 1?,False,,False,,,False,,,,5.0,18–20M,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/of-views-of-next-stokes-twins-video-on-week-1-457-y5iLxLmyHFDU.jpg,637489,https://polymarket-upload.s3.us-east-2.amazonaws.com/of-views-of-next-stokes-twins-video-on-week-1-457-y5iLxLmyHFDU.jpg,1.0,,,,,,,,,False,,,,True,0xf57e63db92280b1314aabb62a2d875e8c81f2595cb2e6158e79619f11d761800,False,0x045e313aaf0836cfa0a44cad80d7337dc79da782709e3b059286f371d4174b28,False,,-0.0025,,,-0.0995,,5.0,0.001,"[""0"", ""1""]","[""Yes"", ""No""]",False,False,Will Stokes Twins' next video get between 18–20 million views on week 1?,0xf57e63db92280b1314aabb62a2d875e8c81f2595cb2e6158e79619f11d761805,False,,,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,4.5,20,False,,,,False,False,will-stokes-twins-next-video-get-between-1820-million-views-on-week-1,,,0.001,2025-10-16T22:06:33.828435Z,2025-10-16,,0x91430CaD2d3975766499717fA0D66A78D814E5c5,,,,,,,,500.0,2025-11-07T18:42:15Z,,resolved,"[""proposed"", ""resolved""]",5.0,2025-11-08T16:35:57.756207Z,,,55490.293353,55490.29335299999,,55490.29335299999,55369.89335299999,,55369.89335299999,55490.29335299999,,55490.29335299999,,,,,55490.293353,55490.293353,,Entertainment,0.000000,1.000000,NO
False,2025-11-12T18:38:29Z,True,True,False,True,True,1.0,0.999,,,True,,"[""88095147379046021291220844474851239765785061663480018068377597587004492237533"", ""103258817440307188668179482207541378518570901269677290691101518909109108307120""]",True,2025-11-17 04:28:49+00,,,0x8b80547fe067a9bcb957af4d5a4799217140537a06b015ca9253e5a545d20f5d,2025-11-12T18:30:05.462723Z,,,0.0,False,,False,2025-11-12T18:30:49.277402Z,"In the upcoming game, scheduled for November 16, 2025
If AA Argentinos Juniors wins, this market will resolve to ""Yes"".
Otherwise, this market will resolve to ""No"".
If the game is postponed, this market will remain open until the game has been completed.
If the game is canceled entirely, with no make-up game, this market will resolve ""No"".
This market refers only to the outcome within the first 90 minutes of regular play plus stoppage time.",,True,2025-11-16T23:15:00Z,2025-11-16,,79917,arg-est-aaj-2025-11-16,Estudiantes de La Plata vs. AA Argentinos Juniors,False,,False,,,False,,2025-11-16 23:15:00+00,,2.0,AA Argentinos Juniors,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/argentina-primera-division-fdedea0d80.png,678726,https://polymarket-upload.s3.us-east-2.amazonaws.com/argentina-primera-division-fdedea0d80.png,1.0,,,,,,,,,False,,,,True,0x7c245f246e54f95a79f17db17a0c66910589bebe39662d814dbdc33d01326100,False,0x1445280d674240acf572eceec6f0b394cab8ed37a7cd28de1c3a6ae97870476a,False,,0.3,0.36,,,,5.0,0.001,"[""1"", ""0""]","[""Yes"", ""No""]",False,False,Will AA Argentinos Juniors win on 2025-11-16?,0x7c245f246e54f95a79f17db17a0c66910589bebe39662d814dbdc33d01326102,False,,https://www.afa.com.ar/,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,0.0,0,False,3.0,,,,,arg-est-aaj-2025-11-16-aaj,,,0.001,2025-11-12T18:38:51.074247Z,2025-11-12,,0x91430CaD2d3975766499717fA0D66A78D814E5c5,,,,,,,,500.0,2025-11-17T04:28:49Z,,resolved,"[""proposed"", ""resolved""]",2.0,2025-11-18T08:34:15.543313Z,,,49421.164259,49421.16425899999,,49421.16425899999,49421.16425899999,,49421.16425899999,49421.16425899999,,49421.16425899999,,,,,49421.164259,49421.164259,,Sports,1.000000,0.000000,YES
False,2025-11-07T17:05:59Z,True,True,False,True,True,0.001,,,,True,,"[""57444993891085167854380187244878650567238627881151892128050793337150004424905"", ""26167996474532522567682725787100731531625236450436962039081006058854011574390""]",True,2025-11-21 05:58:55+00,,,0xae22239e8280eb4297b0db4d65143f745b48a024d831126d9f9691635f887e30,2025-11-07T16:35:11.72126Z,,,0.0,False,,False,2025-11-07T16:47:20.468852Z,"The Miss Universe 2025 competition is scheduled to be held in Thailand on November 21, 2025. You can find more information about that here: https://www.missuniverse.com/the-competition-thailand/

This market will resolve according to the listed country represented by the contestant named first runner-up in this competition. 

If the result of this competition isn't known by December 31, 2025, 11:59 PM ET, the market will resolve to ""Other"".

This market will resolve based on official results as reported by the Miss Universe Organization.",,True,2025-11-21T00:00:00Z,2025-11-21,,75467,miss-universe-2025-second-place,Miss Universe 2025: Second Place,False,,False,,,False,,,,9.0,Brazil,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-brazil-win-miss-universe-2025-g4W2lkwBuMHk.png,669548,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-brazil-win-miss-universe-2025-g4W2lkwBuMHk.png,1.0,,,,,,,,,False,,,,True,0xbd675577516e75ff5bc884b3b251c60eabd7c3986e618097ee2734c08b8ac800,False,0x88bca0c7a3e386cb8ff934c00a949eadfa4750f128d1dbb752b64787d9adaaa1,False,,-0.075,-0.005,,-0.015,,5.0,0.001,"[""0"", ""1""]","[""Yes"", ""No""]",False,False,Will Brazil take second place in Miss Universe 2025?,0xbd675577516e75ff5bc884b3b251c60eabd7c3986e618097ee2734c08b8ac809,False,,,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,0.0,0,False,,,,False,False,will-brazil-take-second-place-in-miss-universe-2025,,,0.001,2025-11-07T17:06:20.851477Z,2025-11-07,,0x91430CaD2d3975766499717fA0D66A78D814E5c5,,,,,,,,500.0,2025-11-21T05:58:55Z,,resolved,"[""proposed"", ""resolved""]",5.0,2025-11-22T08:28:34.909015Z,,,71.66,71.66,,71.66,26.66,,26.66,71.66,,71.66,,,,,71.66,71.66,,Other,0.000000,1.000000,NO
False,2025-11-14T22:36:22Z,True,True,False,True,True,0.001,,,,True,,"[""78350545448390528739851407002699469647741669457365020943037523611551990120267"", ""34115552336329209299268405745715538647685697438838054529297679249588199016426""]",True,2025-11-17 16:13:01+00,,,0xbeadaaa9046defe2ee1125c80756157828e8f29280575b4e6749950da51a6fba,2025-11-14T00:41:40.941767Z,,,0.0,False,,False,2025-11-14T22:34:44.158162Z,"First-round presidential elections are scheduled to be held in Chile on November 16, 2025.

This market will resolve according to the first-round turnout percentage, calculated as “Total votación” divided by “Total inscritos.”

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.

If the results of the election aren’t known by March 31, 2026 ET, this market will resolve to the lowest range bracket.  

This market will resolve based solely on the official results as reported by the Chilean Government, specifically the Chilean Electoral Service (Servicio Electoral de Chile, Serval) (https://www.servel.cl/).",,True,2025-11-16T00:00:00Z,2025-11-16,,80967,turnout-in-2025-chile-presidential-election-first-round-higher-brackets,Turnout in 2025 Chile Presidential Election First Round (Higher Brackets),False,,False,,,False,,,,4.0,82-84%,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-any-presidential-candidate-win-outright-in-the-first-round-of-the-chiles-election-9_ezw7NSzXR7.png,681515,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-any-presidential-candidate-win-outright-in-the-first-round-of-the-chiles-election-9_ezw7NSzXR7.png,1.0,,,,,,,,,False,,,,True,0x9c5b6b8c73456d0fd295613032a0b7621b1d41e8bd259ac99b8f12cb866d7700,False,0xdab4e607d781dd100d64f183aca561bed16e2f5eed3893a86c5550f4bdcb57d1,False,,-0.0745,,,,,5.0,0.001,"[""0"", ""1""]","[""Yes"", ""No""]",False,False,Will turnout in the first round of the 2025 Chilean presidential election be between 82% and 84%?,0x9c5b6b8c73456d0fd295613032a0b7621b1d41e8bd259ac99b8f12cb866d7703,False,,,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,0.0,0,False,,,,False,False,will-turnout-in-the-first-round-of-the-2025-chilean-presidential-election-be-between-82-and-84-978-433-242,,,0.001,2025-11-14T22:36:45.163163Z,2025-11-14,,0x91430CaD2d3975766499717fA0D66A78D814E5c5,,,,,,,,500.0,2025-11-17T16:13:01Z,,resolved,"[""proposed"", ""resolved""]",5.0,2025-11-18T16:28:52.933516Z,,,1249.323458,1249.3234579999998,,1249.3234579999998,1249.3234579999998,,1249.3234579999998,1249.3234579999998,,1249.3234579999998,,,,,1249.323458,1249.323458,,Politics,0.000000,1.000000,NO
False,2025-11-21T15:59:23Z,True,True,False,True,True,0.001,,,,True,,"[""54680115300946051340625541309952653338998826023474375307474778833013387209777"", ""71094065448863504357591421790261827503402325417799613708768639705098930054467""]",True,2025-12-01 07:21:46+00,,,0xb2ce5195fc4612ae75e15a9d12d9e3868cd534ee2fb9553dea54dbf52fc1acc1,2025-11-21T15:28:04.166248Z,,,0.0,False,,False,2025-11-21T15:50:34.422137Z,"This market will resolve to “Yes” if Donald Trump mentions the listed term between November 24, 2025, 12:00 AM ET and November 30, 2025, 11:59 PM ET. Otherwise, this market will resolve to “No”.

Pluralization/possessive of the word will count toward the resolution of this market.

Instances where the term is used in a compound word will count regardless of context (e.g. joyful is not a compound word for ""joy,"" however ""killjoy"" is a compounding of the words ""kill"" and ""joy"").

If this market requires a specified number of mentions of a person’s first or last name, a full-name mention will count as one mention (e.g., if a market is about “Joe / Biden 5+ times,” a mention of “Joe Biden” will count once).

A ‘mention’ will include any verbal mention which is recorded (audio or video) and publicly accessible.

Written usages of terms (e.g. Truth Social posts, written statements, etc.) will not count toward this market's resolution.

AI-generated audio or video will not count toward this market's resolution.

Videos posted on his social media which were filmed outside this market's time frame will not qualify for a ""Yes"" resolution.",,True,2025-11-24T00:00:00Z,2025-11-24,,86935,what-will-trump-say-this-week-november-24-30,What will Trump say this week (November 24 - 30)?,False,,False,,,False,,,,0.0,Transgender,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/what-will-trump-say-this-week-321-XrZIVd47gI4d.jpg,695137,https://polymarket-upload.s3.us-east-2.amazonaws.com/what-will-trump-say-this-week-321-XrZIVd47gI4d.jpg,1.0,,,,,,,,,False,,,,False,,False,,False,,-0.25,,,-0.75,,5.0,0.001,"[""0"", ""1""]","[""Yes"", ""No""]",False,False,"Will Trump say ""Transgender"" this week (November 24–30)?",0x94e6b16e6380d404478c85f5ca793df3be69c0e09408c8bbb9ec4a1c77c800da,False,,,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,True,0.0,0,False,,,,False,False,will-trump-say-transgender-this-week-november-2430,,,0.001,2025-11-21T15:59:45.837412Z,2025-11-21,,0x91430CaD2d3975766499717fA0D66A78D814E5c5,,,,,,,,500.0,2025-12-01T07:21:46Z,,resolved,"[""proposed""]",5.0,2025-12-02T08:34:08.912018Z,,,5125.718029,5125.718029000001,,5125.718029000001,2043.8476490000005,,2043.8476490000005,5125.718029000001,,5125.718029000001,,,,,5125.718029,5125.718029,,Other,0.000000,1.000000,NO
False,2025-10-16T22:29:43Z,True,True,False,True,True,0.001,,,,True,"[{""id"": ""40062"", ""conditionId"": ""0x56df1de13dd1c7e38c7e02bb0941cdabd576999e1ff12acea0bab21d25f8e226"", ""assetAddress"": ""0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174"", ""rewardsAmount"": 0, ""rewardsDailyRate"": 20, ""startDate"": ""2025-10-25"", ""endDate"": ""2500-12-31""}]","[""3337744694292316304580031904745476540340908233468096535014964886058192317660"", ""71886836710411680077060633409490673477492379997409987931675001273398720684739""]",True,2025-10-26 19:19:21+00,,,0x56df1de13dd1c7e38c7e02bb0941cdabd576999e1ff12acea0bab21d25f8e226,2025-10-16T15:47:02.655015Z,,,0.0,False,,False,2025-10-16T22:02:01.885932Z,"This market will resolve to according to the number of views the next YouTube video posted by MrBeast gets in the first 24hrs after being posted.

If MrBeast does not post a YouTube video by January 31, 2026, 11:59 PM ET, this market will resolve to the lowest range bracket.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.

The resolution source for this market is MrBeast's YouTube channel (https://www.youtube.com/@MrBeast), specifically the 'views' counter for the described video.

Note: This market refers to MrBeast's next video posted. Shorts, previews, or other videos released other than the referenced video will not be considered.",,True,2026-01-31T00:00:00Z,2026-01-31,,60505,of-views-of-next-mrbeast-video-on-day-1-221,# of views of next MrBeast video on day 1?,False,,False,,,False,,,,6.0,50–55M,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/of-views-of-next-mrbeast-video-on-day-1--HcOnJGLLP3O.jpg,637504,https://polymarket-upload.s3.us-east-2.amazonaws.com/of-views-of-next-mrbeast-video-on-day-1--HcOnJGLLP3O.jpg,1.0,,,,,,,,,False,,,,True,0xa3d5c5574c456f1f6902ff73612f1e7baeb95c62525b33be3bab661434adb900,False,0xaa2a18b83360017d774b37859588f2c08c20bbb4d156142c7dc441a548aa24cc,False,,-0.022,,,-0.0695,,5.0,0.001,"[""0"", ""1""]","[""Yes"", ""No""]",False,False,Will MrBeast's next video get between 50–55 million views on day 1?,0xa3d5c5574c456f1f6902ff73612f1e7baeb95c62525b33be3bab661434adb906,False,,,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,4.5,50,False,,,,False,False,will-mrbeasts-next-video-get-between-5055-million-views-on-day-1-982,,,0.001,2025-10-16T22:30:05.666943Z,2025-10-16,,0x91430CaD2d3975766499717fA0D66A78D814E5c5,,,,,,,,500.0,2025-10-26T19:19:21Z,,resolved,"[""proposed"", ""resolved""]",5.0,2025-10-27T16:30:01.778602Z,,,35365.163109,35365.163109,,35365.163109,35315.740553,,35315.740553,35365.163109,,35365.163109,,,,,35365.163109,35365.163109,,Entertainment,0.000000,1.000000,NO
False,2025-11-24T13:36:19Z,True,True,False,True,True,0.001,,,,True,,"[""66407018178057048559925106000478514638935729034022661469893938434499046425853"", ""76851813567488885710793596179475635095003982778395582563768925929783254997""]",True,2025-11-26 16:02:17+00,,,0x839f82e38ca878a4daced87f1b4de28e9e473084afd434c5a0db0c1c01b76efc,2025-11-24T13:15:37.4663Z,,,0.0,False,,False,2025-11-24T13:33:50.668727Z,"This market will resolve to the temperature range that contains the highest temperature recorded at the London City Airport Station in degrees Fahrenheit on 26 Nov '25.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the London City Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/gb/london/EGLC.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Fahrenheit (eg, 21°F). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",,True,2025-11-26T12:00:00Z,2025-11-26,,89170,highest-temperature-in-london-on-november-26,Highest temperature in London on November 26?,False,,False,,,False,,,,2.0,42-43°F,True,False,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-london-on-jan-22-eouu0bkjph8i.jpg,700410,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-london-on-jan-22-eouu0bkjph8i.jpg,1.0,,,,,,,,,False,,,,True,0x7e1849f76e2cf202739bf825669b611efc5fa801d01d4da9d7e04f59918cb900,False,0xa84071678c1240eefdca2ad08b68f8b34c6bf079fd4dd0bf0a5283e6995c0e64,False,,-0.0265,,,,,5.0,0.001,"[""0"", ""1""]","[""Yes"", ""No""]",False,False,Will the highest temperature in London be between 42-43°F on November 26?,0x7e1849f76e2cf202739bf825669b611efc5fa801d01d4da9d7e04f59918cb902,False,,,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,3.5,50,False,,,,False,True,will-the-highest-temperature-in-london-be-between-42-43f-on-november-26,,,0.001,2025-11-24T13:36:41.129364Z,2025-11-24,,0x91430CaD2d3975766499717fA0D66A78D814E5c5,,,,,,,,500.0,2025-11-26T16:02:17Z,,resolved,"[""proposed"", ""resolved""]",5.0,2025-11-27T16:32:33.325726Z,,,79666.593989,79666.59398899999,,79666.59398899999,79666.59398899999,,79666.59398899999,79666.59398899999,,79666.59398899999,,,,,79666.593989,79666.593989,,Other,0.000000,1.000000,NO
