run_ts         , dataset        , scenario, model                        , temperature, aggregator          , extremizing_alpha, public_ratio, bm25 , num_agents, num_rounds, n  , brier_mean, brier_median, accuracy
20260407_160500, full_500       , s0      , gpt-5.4-mini                 ,         0.0, mean                ,                  ,          0.0, False,          3,          2, 497,    0.21291, 0.0064      ,   0.7203
20260407_160500, full_500       , s1      , gpt-5.4-mini                 ,         0.0, mean                ,                  ,          0.0, False,          3,          2, 497,    0.19527, 0.0529      ,   0.7123
20260407_160500, full_500       , s2      , gpt-5.4-mini                 ,         0.0, mean                ,                  ,          0.0, False,          3,          2, 497,    0.19562, 0.02151     ,   0.7143
20260410_022953, dev_small_48   , s0      , gpt-5.4-mini                 ,         0.7, mean                ,                  ,          0.5, False,          3,          2,  48,    0.1022 , 0.0009      ,   0.875
20260410_022953, dev_small_48   , s1      , gpt-5.4-mini                 ,         0.7, mean                ,                  ,          0.5, False,          3,          2,  48,    0.08448, 0.00843     ,   0.875
20260410_022953, dev_small_48   , s2      , gpt-5.4-mini                 ,         0.7, mean                ,                  ,          0.5, False,          3,          2,  48,    0.03907, 0.00081     ,   0.9375
20260410_024601, dev_targeted_80, s0      , gpt-5.4-mini                 ,         0.7, mean                ,                  ,          0.5, False,          3,          2,  80,    0.45554, 0.3844      ,   0.45
20260410_024601, dev_targeted_80, s1      , gpt-5.4-mini                 ,         0.7, mean                ,                  ,          0.5, False,          3,          2,  80,    0.25739, 0.10891     ,   0.6375
20260410_024601, dev_targeted_80, s2      , gpt-5.4-mini                 ,         0.7, mean                ,                  ,          0.5, False,          3,          2,  80,    0.26189, 0.01028     ,   0.7
20260410_033003, dev_small_48   , s0      , gpt-5.4-mini                 ,         0.7, extremizing         ,               2.5,          0.5, False,          3,          2,  48,    0.12553, 0.0009      ,   0.8542
20260410_033003, dev_small_48   , s1      , gpt-5.4-mini                 ,         0.7, extremizing         ,               2.5,          0.5, False,          3,          2,  48,    0.14386, 2e-05       ,   0.8333
20260410_033003, dev_small_48   , s2      , gpt-5.4-mini                 ,         0.7, extremizing         ,               2.5,          0.5, False,          3,          2,  48,    0.08416, 0.0         ,   0.8958
20260410_033008, dev_small_48   , s0      , gpt-5.4-mini                 ,         0.7, confidence_weighted ,                  ,          0.5, False,          3,          2,  48,    0.12504, 0.0009      ,   0.8542
20260410_033008, dev_small_48   , s1      , gpt-5.4-mini                 ,         0.7, confidence_weighted ,                  ,          0.5, False,          3,          2,  48,    0.07959, 0.00479     ,   0.8958
20260410_033008, dev_small_48   , s2      , gpt-5.4-mini                 ,         0.7, confidence_weighted ,                  ,          0.5, False,          3,          2,  48,    0.033  , 0.0009      ,   0.9375
